"","x"
"1",1.88323917137476
"2",2.08768267223382
"3",1.73913043478261
"4",1.8018018018018
"5",2.45098039215686
"6",2.32558139534884
"7",1.94174757281553
"8",1.83823529411765
"9",2.10526315789474
"10",2.23214285714286
"11",1.85528756957328
"12",2.26244343891403
"13",2.28310502283105
"14",1.92678227360308
"15",2.01612903225806
"16",2.06611570247934
"17",2.49376558603491
"18",1.81488203266788
"19",1.98412698412698
"20",1.98019801980198
"21",2.47524752475248
"22",1.86915887850467
"23",2.39808153477218
"24",2.07900207900208
"25",1.67785234899329
"26",1.15207373271889
"27",1.3550135501355
"28",1.64744645799012
"29",2.22222222222222
"30",1.87265917602996
"31",2.5
"32",1.89035916824197
"33",1.85528756957328
"34",1.82481751824817
"35",2.39234449760766
"36",2.42130750605327
"37",1.2482836100362
"38",2.04457166223676
"39",1.80538003249684
"40",2.05761316872428
"41",1.99362041467305
"42",1.92381685263563
"43",1.6597510373444
"44",1.9047619047619
"45",1.77746178457163
"46",1.92159877017679
"47",1.92492781520693
"48",1.90912562046583
"49",1.59311773140035
"50",1.63692912096906
"51",1.98886237072395
"52",1.8896447467876
"53",1.62337662337662
"54",1.93948797517455
"55",1.77714590367869
"56",2.10172341319882
"57",1.37155397064875
"58",1.88146754468485
"59",2.05549845837616
"60",1.499700059988
"61",1.99322304165836
"62",1.92715359414145
"63",1.84740439682246
"64",2.14270409256482
"65",1.86567164179104
"66",1.91938579654511
"67",2.10837022981236
"68",2.20945647370747
"69",2.00803212851406
"70",1.98649185538339
"71",1.88857412653447
"72",1.75469380593087
"73",1.65371258475277
"74",1.83452577508714
"75",2.07943439384487
"76",2.11864406779661
"77",1.06269925611052
"78",1.42045454545455
"79",1.44927536231884
"80",1.5625
"81",1.24069478908189
"82",1.73913043478261
"83",1.29032258064516
"84",1.56739811912226
"85",1.70068027210884
"86",1.78571428571429
"87",1.194743130227
"88",1.78571428571429
"89",1.91204588910134
"90",1.10497237569061
"91",2.03665987780041
"92",1.52671755725191
"93",1.56985871271586
"94",1.65016501650165
"95",1.69204737732657
"96",1.45137880986938
"97",1.96850393700787
"98",1.74520069808028
"99",1.70068027210884
"100",1.20772946859903
"101",1.41442715700141
"102",1.29533678756477
"103",2.08768267223382
"104",1.64203612479475
"105",1.73913043478261
"106",1.64473684210526
"107",1.85873605947955
"108",1.24378109452736
"109",1.26903553299492
"110",1.35135135135135
"111",1.38121546961326
"112",1.44927536231884
"113",1.3531799729364
"114",1.61030595813205
"115",1.62296824662625
"116",1.79794674481742
"117",1.6685159384985
"118",1.41729381918165
"119",1.62507820688871
"120",1.76404177250917
"121",1.45692952103442
"122",1.62882366355018
"123",1.70957705063767
"124",1.81608506542446
"125",1.66264859921856
"126",1.795428838178
"127",1.74648084110517
"128",1.88139674894642
"129",1.73487621658195
"130",2.07882920339265
"131",1.62119222476209
"132",1.18370511538166
"133",1.74834344458625
"134",1.82985964976486
"135",1.87578548517192
"136",1.65144584083365
"137",1.91303349721654
"138",1.20510966497951
"139",1.53665301606571
"140",1.50128735390597
"141",1.6938099714593
"142",1.72378128663035
"143",1.7165613842351
"144",1.19192352618656
"145",1.72455420273859
"146",1.56787732927776
"147",1.53817756721836
"148",2.01215340657572
"149",1.58829742457573
"150",1.49354043760735
"151",1.6956049918611
"152",1.76463322098502
"153",1.57935467567952
"154",1.31097680882025
"155",1.42668616471092
"156",1.57456758437714
"157",1.71690030818361
"158",1.53740900460454
"159",1.76112148215984
"160",1.57231468306067
"161",1.14652602614079
"162",1.93745882899988
"163",1.14982838811307
"164",1.65988878745124
"165",1.92213433796888
"166",1.8653062366514
"167",1.68426725952874
"168",1.60673543494328
"169",1.89771325552709
"170",1.73293706839036
"171",1.59311773140035
"172",1.81289147125207
"173",1.84474616292798
"174",1.6495253490808
"175",1.61325449896348
"176",1.65062806397834
"177",1.41660114886353
"178",1.45953440852368
"179",1.36447055131433
"180",1.46516926367919
"181",1.58000347600765
"182",1.75204989838111
"183",1.51726649268678
"184",1.69753348384797
"185",1.23796849370184
"186",1.66024704476026
"187",1.60563900418269
"188",1.34639334881686
"189",1.55462968720851
"190",1.05841946221707
"191",1.80011520737327
"192",1.13959464618435
"193",1.73176666175999
"194",1.46842878120411
"195",1.71821305841924
"196",1.58478605388273
"197",1.33333333333333
"198",1.5748031496063
"199",1.58478605388273
"200",1.54320987654321
"201",1.82481751824817
"202",0.818330605564648
"203",1.49700598802395
"204",1.5015015015015
"205",1.11234705228031
"206",1.3986013986014
"207",1.46198830409357
"208",1.12359550561798
"209",1.8796992481203
"210",1.36612021857923
"211",1.6260162601626
"212",1.61290322580645
"213",1.30718954248366
"214",1.52905198776758
"215",0.969932104752667
"216",1.36798905608755
"217",1.30378096479791
"218",1.39470013947001
"219",1.62337662337662
"220",1.15606936416185
"221",1.57232704402516
"222",1.86567164179104
"223",1.38121546961326
"224",1.84842883548983
"225",1.36054421768707
"226",1.33333333333333
"227",1.67224080267559
"228",1.04493207941484
"229",1.36798905608755
"230",1.38888888888889
"231",1.17508813160987
"232",1.57232704402516
"233",0.817661488143908
"234",1.71526586620926
"235",1.94552529182879
"236",1.6260162601626
"237",1.87617260787992
"238",1.67224080267559
"239",1.65289256198347
"240",1.93798449612403
"241",1.94552529182879
"242",1.94174757281553
"243",1.46627565982405
"244",1.92307692307692
"245",1.5625
"246",1.93050193050193
"247",1.28040973111396
"248",1.81818181818182
"249",1.36612021857923
"250",1.49700598802395
"251",1.81818181818182
"252",1.62074554294976
"253",1.5015015015015
"254",1.61030595813205
"255",1.2987012987013
"256",1.54559505409583
"257",1.65837479270315
"258",1.66389351081531
"259",1.70648464163823
"260",1.6260162601626
"261",1.61812297734628
"262",1.65837479270315
"263",1.87617260787992
"264",1.50829562594268
"265",1.77619893428064
"266",1.63934426229508
"267",1.94174757281553
"268",1.05820105820106
"269",1.53609831029186
"270",1.3986013986014
"271",1.62866449511401
"272",1.40124710992784
"273",1.49469011337224
"274",1.43041052782148
"275",1.60932118832277
"276",1.38413093878681
"277",1.36533682859561
"278",1.41593922788834
"279",1.82142727040909
"280",1.25179946172623
"281",1.25076609423272
"282",1.59440046556494
"283",1.36794227283609
"284",1.1771699656855
"285",1.21228284983452
"286",1.83188766864816
"287",1.58321789036216
"288",1.4295516925892
"289",1.22646716134176
"290",1.43336295616776
"291",1.43174171379483
"292",1.4614221098551
"293",1.39817119208076
"294",1.54318606194349
"295",1.76047039769026
"296",1.58082772139492
"297",1.76390175067249
"298",1.49892452165571
"299",1.45740727246229
"300",0.990712074303406
"301",1.62477456252945
"302",1.46776063759522
"303",1.74184164917567
"304",1.28041792841183
"305",1.35869565217391
"306",1.61550888529887
"307",1.52671755725191
"308",1.32802124833997
"309",1.49476831091181
"310",1.3869625520111
"311",1.15074798619102
"312",1.49253731343284
"313",0.949667616334283
"314",1.65562913907285
"315",1.32275132275132
"316",1.66389351081531
"317",1.42450142450142
"318",1.52439024390244
"319",1.56739811912226
"320",1.61550888529887
"321",1.45772594752187
"322",1.53374233128834
"323",1.05042016806723
"324",1.49925037481259
"325",1.194743130227
"326",1.56739811912226
"327",1.53139356814701
"328",1.56494522691706
"329",1.26903553299492
"330",1.26582278481013
"331",1.2453300124533
"332",1.41643059490085
"333",1.2970168612192
"334",0.982318271119843
"335",1.38888888888889
"336",1.3869625520111
"337",1.32802124833997
"338",1.45985401459854
"339",0.935453695042095
"340",1.65016501650165
"341",1.36054421768707
"342",1.39082058414465
"343",1.10864745011086
"344",0.865800865800866
"345",1.2643823492224
"346",2.01207243460765
"347",1.59235668789809
"348",1.50285542530809
"349",1.1401208528104
"350",1.58152775581211
"351",1.31926121372032
"352",1.34156157767642
"353",0.578971746178786
"354",1.69348010160881
"355",1.25628140703518
"356",1.38580931263858
"357",1.49543891132047
"358",1.34916351861846
"359",1.20062432464882
"360",1.03029054193282
"361",1.32100396301189
"362",1.3437248051599
"363",1.06894708711919
"364",1.61108425970678
"365",1.53727901614143
"366",0.712758374910905
"367",1.21951219512195
"368",0.842886041807148
"369",1.2809017548354
"370",1.42227279192149
"371",1.43307537976498
"372",1.57084511467169
"373",1.10217127741651
"374",1.29802699896158
"375",1.44154533660084
"376",1.49009089554463
"377",1.06303816307005
"378",1.00050025012506
"379",0.909669789866279
"380",0.943218260705527
"381",1.31061598951507
"382",1.39801481895708
"383",1.13636363636364
"384",1.49476831091181
"385",1.00300902708124
"386",1.20481927710843
"387",1.36612021857923
"388",1.52905198776758
"389",1.50602409638554
"390",1.43266475644699
"391",1.58478605388273
"392",1.36986301369863
"393",1.49925037481259
"394",1.22549019607843
"395",1.58982511923688
"396",1.22699386503067
"397",1.47058823529412
"398",1.22850122850123
"399",1.6750418760469
"400",1.36986301369863
"401",1.62866449511401
"402",1.46198830409357
"403",1.30890052356021
"404",1.43266475644699
"405",1.18203309692671
"406",1.33868808567604
"407",1.84607432295224
"408",1.7405682955485
"409",1.55485932410265
"410",1.85925443896997
"411",1.75680542501515
"412",1.64604989177222
"413",0.861003844382165
"414",1.74962820400665
"415",1.5744436309819
"416",1.80931616895394
"417",1.81087247836007
"418",1.38243751382438
"419",1.8066684131128
"420",1.92585459797785
"421",1.57621802247687
"422",1.82711808664194
"423",1.56511667944845
"424",1.75564880001405
"425",1.75800993275612
"426",1.55149408880752
"427",1.99054491166957
"428",1.92533548970908
"429",1.75574127396587
"430",1.34915441746885
"431",1.50682970564082
"432",1.39663829163204
"433",1.30167655940852
"434",1.44550448106389
"435",1.47379590874256
"436",1.97649942187392
"437",1.756034172425
"438",1.94233215822238
"439",1.44637213708715
"440",1.78889276482321
"441",1.60776873854465
"442",1.21624169154894
"443",1.55688063396179
"444",1.92076830732293
"445",1.80461439901829
"446",1.572339405184
"447",1.76814336106372
"448",1.43550285665068
"449",1.84569952011812
"450",1.56298843388559
"451",1.55930829084218
"452",1.76513159056008
"453",1.56495747228069
"454",1.79741352194193
"455",1.8628912071535
"456",1.79156887686547
"457",1.86912394160857
"458",2.13440338089496
"459",2.10566212545535
"460",1.79121587733754
"461",1.73985663581321
"462",1.4023376969408
"463",1.9147184406533
"464",2.03239639859358
"465",1.85061810644755
"466",1.61822771700434
"467",1.99818165469423
"468",1.84834342220785
"469",1.9565834140424
"470",1.97118132897045
"471",1.62650553418508
"472",1.97863078749505
"473",2.04052482298447
"474",2.09503058744658
"475",1.96384560245873
"476",2.0884456743069
"477",1.96594975032438
"478",1.71084935116038
"479",1.85571793087451
"480",1.53953921591268
"481",1.77856825255669
"482",1.59602907964983
"483",1.71010329023873
"484",1.64361496675789
"485",1.79028590865961
"486",1.59828663672543
"487",1.82094634581592
"488",1.71444246331093
"489",1.50855729123453
"490",1.43595634692705
"491",1.84476317852696
"492",2.00400801603206
"493",1.86715212621948
"494",2.13349263411668
"495",1.60709694008743
"496",1.92361331525137
"497",2.12219604847096
"498",1.80360540720901
"499",1.61578296803173
"500",1.93457274960825
"501",1.62404891635336
"502",1.38253307710387
"503",1.61543059302457
"504",1.46285446792326
"505",0.905448536568803
"506",1.57496436643121
"507",1.35875103604766
"508",1.49809367579755
"509",1.27402330188619
"510",1.20141767285397
"511",1.53587418118708
"512",1.61412683808694
"513",1.21667822510981
"514",1.45265436268421
"515",1.33224977018691
"516",0.903028305422233
"517",1.37600792580565
"518",1.07042886732569
"519",1.52600697385187
"520",1.49575206413785
"521",2.05862977602108
"522",1.92691221951384
"523",1.51414208709345
"524",1.96918229705115
"525",2.29042601923958
"526",2.17597075495305
"527",1.43140356276347
"528",1.5798661853341
"529",1.50186230926349
"530",2.02110028699624
"531",1.79528378948502
"532",1.83935107694006
"533",2.21958338419879
"534",1.67246454375167
"535",1.75204989838111
"536",2.54945951458291
"537",2.35161320665977
"538",2.40494456602775
"539",2.29755654861055
"540",2.36013263945434
"541",1.91468177988818
"542",2.22843708564998
"543",1.69087435112697
"544",1.07296137339056
"545",1.46627565982405
"546",1.6260162601626
"547",1.66389351081531
"548",1.67224080267559
"549",1.6260162601626
"550",1.61290322580645
"551",1.53609831029186
"552",1.24378109452736
"553",1.33333333333333
"554",1.7636684303351
"555",1.38312586445367
"556",1.27713920817369
"557",1.57977883096367
"558",1.71232876712329
"559",1.61030595813205
"560",1.27713920817369
"561",1.56985871271586
"562",1.54320987654321
"563",1.38888888888889
"564",1.53374233128834
"565",1.72117039586919
"566",0.896057347670251
"567",1.76056338028169
"568",1.3262599469496
"569",2.37529691211401
"570",1.74825174825175
"571",1.71526586620926
"572",1.98019801980198
"573",1.75131348511384
"574",1.75131348511384
"575",1.60513643659711
"576",1.19047619047619
"577",1.97628458498024
"578",2.27272727272727
"579",1.68918918918919
"580",1.12359550561798
"581",0.419815281276238
"582",1.51975683890577
"583",1.5015015015015
"584",1.01214574898785
"585",1.44508670520231
"586",1.42045454545455
"587",1.61030595813205
"588",0.760274154860243
"589",1.8804415276707
"590",1.54159215637911
"591",1.43988480921526
"592",0.935011991528791
"593",1.7626580883973
"594",0.922705001983816
"595",1.62354793931178
"596",1.70588787199017
"597",1.53468385512584
"598",0.806545926741434
"599",1.93986420950533
"600",1.38405431029114
"601",1.01831438419983
"602",0.696153404364186
"603",0.90640465529431
"604",1.18969722205699
"605",1.26279367845485
"606",1.56812319175794
"607",0.652009493258222
"608",1.67785234899329
"609",1.60771704180064
"610",1.47492625368732
"611",1.46842878120411
"612",1.58478605388273
"613",1.93050193050193
"614",1.82149362477231
"615",1.88323917137476
"616",1.81818181818182
"617",1.60513643659711
"618",1.47710487444609
"619",1.87265917602996
"620",1.73611111111111
"621",1.37435319502759
"622",1.12896761556395
"623",1.3936602395702
"624",1.13873816424021
"625",1.05717185385656
"626",1.25528790027993
"627",1.42117118717535
"628",1.52678748644976
"629",1.56801254410035
"630",1.45082080186866
"631",1.49419877326281
"632",1.18250833668377
"633",1.37543068173222
"634",1.12288266437599
"635",1.48260166940948
"636",2.06571024282424
"637",1.97818066724034
"638",2.06266372393309
"639",1.20419541683224
"640",1.99734353310098
"641",1.97172545694737
"642",1.60309075898332
"643",1.27431553326919
"644",1.70954782460039
"645",2.06996481059822
"646",1.92359481398838
"647",1.71084935116038
"648",2.08964580503605
"649",1.90679582030356
"650",1.51619677201707
"651",1.53539075694764
"652",1.57451800067704
"653",1.47999052806062
"654",1.37145051463681
"655",1.7102787754404
"656",1.42497844720099
"657",1.8769297183667
"658",1.89153914540261
"659",1.53648774266903
"660",1.4683317548767
"661",0.999810036093142
"662",1.5622803043322
"663",1.33678223149058
"664",1.36807327400456
"665",1.57204279100477
"666",0.966846822457918
"667",1.27474600685813
"668",1.451073431571
"669",1.30343258972504
"670",1.20133107483091
"671",1.65494414563508
"672",1.49093511450382
"673",1.46182801593393
"674",1.61708940078752
"675",1.52190786369793
"676",1.35669563211841
"677",1.44994780187913
"678",1.39400993929087
"679",1.4964795319012
"680",0.930371031967549
"681",1.18345996354943
"682",1.48751970963615
"683",1.25904941768964
"684",0.822196003305228
"685",1.55921103921416
"686",1.54828720727695
"687",0.983284169124877
"688",0.634203883864585
"689",1.37400384721077
"690",1.04248653889257
"691",0.645061409846217
"692",1.92357631308128
"693",1.77966026285582
"694",1.7579790273102
"695",1.47822937685241
"696",1.78750178750179
"697",1.57789682132685
"698",1.33291568641826
"699",1.5693782907901
"700",1.76340407522682
"701",1.63959960977529
"702",1.56793878766973
"703",1.90238844869734
"704",1.83511492407212
"705",1.16492413431575
"706",1.39275766016713
"707",1.14025085518814
"708",1.28040973111396
"709",1.59489633173844
"710",1.06951871657754
"711",1.43266475644699
"712",1.34228187919463
"713",1.63398692810458
"714",0.597371565113501
"715",1.89393939393939
"716",1.32275132275132
"717",0.475737392959087
"718",1.27064803049555
"719",0.667556742323097
"720",1.16009280742459
"721",1.73310225303293
"722",1.54083204930663
"723",1.48367952522255
"724",1.11358574610245
"725",1.72117039586919
"726",1.65289256198347
"727",1.65289256198347
"728",1.87265917602996
"729",1.68918918918919
"730",1.74520069808028
"731",1.6
"732",2.23214285714286
"733",1.20918984280532
"734",1.34228187919463
"735",1.99720391451967
"736",1.62082435126505
"737",1.56137775973519
"738",1.6463615409944
"739",1.12487837252597
"740",1.57687668035921
"741",1.57751100313925
"742",1.93434822136681
"743",1.61003373020665
"744",1.78964511337402
"745",1.65099596331487
"746",1.86178135239797
"747",1.61147369269197
"748",1.28905016338711
"749",1.46388236241336
"750",1.56985871271586
"751",1.46842878120411
"752",1.5748031496063
"753",1.36425648021828
"754",1.5748031496063
"755",1.13636363636364
"756",1.25786163522013
"757",0.910746812386157
"758",1.33868808567604
"759",1.27877237851662
"760",1.46412884333821
"761",1.39470013947001
"762",1.50829562594268
"763",1.40056022408964
"764",1.40252454417952
"765",1.46627565982405
"766",1.92115576730961
"767",1.76147823253274
"768",1.69875905650922
"769",1.84330098340107
"770",1.65077792909909
"771",1.72711571675302
"772",1.24688279301746
"773",0.768143550666749
"774",1.35948991938225
"775",1.17328890479347
"776",1.34303902871417
"777",1.52572758134035
"778",1.53256704980843
"779",1.556299120691
"780",1.22162023491757
"781",1.14211313772742
"782",1.68786341809221
"783",1.56318389295317
"784",1.21668562668435
"785",1.40053080117364
"786",1.5859547844291
"787",1.19188090725975
"788",1.72687711542447
"789",1.66640281955357
"790",1.92706075059016
"791",1.74495707405598
"792",1.72210406674875
"793",0.93462748085182
"794",1.30832684621272
"795",1.28980665798197
"796",1.01741819957675
"797",1.57870640796931
"798",1.79352894755721
"799",1.62964652966771
"800",1.76850296224246
"801",1.76739335990315
"802",1.69389604559968
"803",1.50621691029725
"804",1.84245193503514
"805",1.84409980268132
"806",1.33847306992183
"807",1.52514584207115
"808",1.84067147695479
"809",1.85480580183255
"810",1.9000209002299
"811",1.72345449218413
"812",1.69875905650922
"813",1.94101262628713
"814",1.87351874923888
"815",1.3030249724736
"816",1.60642570281124
"817",1.71373731834384
"818",1.81801654395055
"819",1.62499898437563
"820",1.66168162180126
"821",1.95438466198917
"822",2.08700733583079
"823",1.70966473474552
"824",1.78037316621564
"825",1.50924032388297
"826",1.83498022808804
"827",1.50101693897616
"828",1.35360125614197
"829",1.82990987693856
"830",1.39324277255312
"831",1.09106580763419
"832",1.45982204769239
"833",1.2260160608104
"834",1.24782410671392
"835",1.19924207900607
"836",1.43067656694851
"837",1.57431969710089
"838",1.42704245451302
"839",1.56822155834176
"840",1.58022818494991
"841",1.61622691825932
"842",1.43911810842316
"843",1.49493590462309
"844",1.83135089598843
"845",1.68494835633288
"846",1.53892321542617
"847",1.59413358839471
"848",1.98436321784339
"849",1.89659750407768
"850",1.99117907669026
"851",2.02850043105634
"852",1.81404250301585
"853",2.22367996797901
"854",2.07473184090956
"855",1.74014425795898
"856",2.0185708518369
"857",1.29158917131639
"858",1.2519483446113
"859",2.3050769319426
"860",1.66666666666667
"861",1.46842878120411
"862",1.669449081803
"863",1.46412884333821
"864",1.54083204930663
"865",1.54559505409583
"866",1.3550135501355
"867",1.53374233128834
"868",1.27877237851662
"869",1.00200400801603
"870",1.54083204930663
"871",1.2531328320802
"872",1.75746924428823
"873",1.5015015015015
"874",1.06951871657754
"875",1.17233294255569
"876",1.45137880986938
"877",1.41643059490085
"878",1.39470013947001
"879",1.32978723404255
"880",1.24378109452736
"881",1.79533213644524
"882",1.11731843575419
"883",1.18623962040332
"884",1.37931034482759
"885",1.94552529182879
"886",1.24688279301746
"887",1.47275405007364
"888",1.44092219020173
"889",3.3003300330033
"890",1.80505415162455
"891",2.04918032786885
"892",1.49633398174473
"893",1.57707562866177
"894",1.68177460856696
"895",0.905518228081931
"896",0.641017422853553
"897",1.23097376179427
"898",1.66992301654894
"899",1.05033742089646
"900",1.66672222407414
"901",1.35015628058948
"902",1.61410078445298
"903",1.63925020695534
"904",1.44612114156803
"905",0.947867298578199
"906",1.62074554294976
"907",1.51057401812689
"908",1.43884892086331
"909",1.51057401812689
"910",1.58478605388273
"911",0.802568218298555
"912",1.6750418760469
"913",1.18906064209275
"914",1.40449438202247
"915",1.51057401812689
"916",1.6260162601626
"917",1.03305785123967
"918",1.669449081803
"919",1.18483412322275
"920",1.4265335235378
"921",1.09529025191676
"922",1.29366106080207
"923",1.50602409638554
"924",1.28700128700129
"925",1.36425648021828
"926",1.17924528301887
"927",1.03734439834025
"928",1.14174149830737
"929",1.53255530608961
"930",1.61890885543144
"931",1.44743984078162
"932",1.39318454122433
"933",1.32840053933062
"934",1.32051552926262
"935",1.37870181437159
"936",1.28951559346731
"937",1.47464350493268
"938",1.44573436076855
"939",1.33965651207031
"940",1.52010336702896
"941",1.35496765014735
"942",1.41205043844166
"943",1.44545224587143
"944",1.24608262773905
"945",1.41330770535361
"946",0.745417545638189
"947",1.23276441255694
"948",0.9646829569462
"949",1.24291538232077
"950",1.03122019129135
"951",1.61061718850664
"952",1.46267259536625
"953",2.14130469695185
"954",2.0225105423362
"955",2.48416345795553
"956",1.80833461423702
"957",1.87113493689597
"958",1.87480080241474
"959",1.8301443068786
"960",2.2422278776192
"961",1.74257011666507
"962",2.18529080757422
"963",2.08396286378177
"964",1.61681487469685
"965",1.56941523588311
"966",1.84581875905605
"967",1.43787654391994
"968",1.73334257782708
"969",1.24873565514916
"970",1.66679167604237
"971",1.89159281573049
"972",1.51099627539418
"973",1.33550575602981
"974",1.46204174129171
"975",1.66551468567574
"976",1.18352999656776
"977",1.39861117909915
"978",1.28611573755522
"979",1.74471351804034
"980",1.13146490761589
"981",1.42765365122421
"982",1.45495813357971
"983",1.49567376363867
"984",1.83875920528827
"985",1.24909440655525
"986",1.64204960631861
"987",1.70462293740625
"988",1.47670134453657
"989",1.51844147167347
"990",1.50903534915305
"991",1.13078680145645
"992",1.73988690735102
"993",1.64209005221846
"994",1.61216215126917
"995",1.26343984131196
"996",1.12285114362389
"997",1.10974242878228
"998",1.53920746207778
"999",1.01694742890266
"1000",1.62154711810538
"1001",1.65508109897385
"1002",1.62308678645047
"1003",1.61481756598548
"1004",1.15428122907865
"1005",1.53589777064439
"1006",1.58750317500635
"1007",1.05597178443392
"1008",1.39487522841082
"1009",1.53724356855722
"1010",1.4600671630895
"1011",1.35884335253832
"1012",1.49570731999162
"1013",1.19971686681943
"1014",1.04721362634371
"1015",1.24754389795091
"1016",1.37355090379649
"1017",1.27580311806282
"1018",0.792744799594115
"1019",1.05613907239305
"1020",0.69679855902058
"1021",1.42490738102023
"1022",0.935055705943682
"1023",1.29427219838604
"1024",1.49258186811547
"1025",0.625933031424968
"1026",1.15349566862376
"1027",1.2218590585576
"1028",1.11547385329288
"1029",1.09455295720845
"1030",0.692835046367985
"1031",0.96735655311513
"1032",1.28040973111396
"1033",0.621519490851233
"1034",1.36058124030586
"1035",1.60535546583402
"1036",1.47184363133261
"1037",1.18287201324817
"1038",1.01111723398769
"1039",1.30350904635278
"1040",1.51162439157118
"1041",1.46272608260014
"1042",1.51745068285281
"1043",1.81159420289855
"1044",1.32934529744101
"1045",1.6171678539374
"1046",1.15354889316984
"1047",0.923126629895456
"1048",1.52940276821901
"1049",1.80980734600802
"1050",1.6083505560872
"1051",1.49693876023532
"1052",1.37522261416067
"1053",1.6197479672163
"1054",0.769215976615834
"1055",1.61633141259284
"1056",1.45877856470777
"1057",0.804000707520623
"1058",0.738181710809933
"1059",1.18900409017407
"1060",1.27607174075327
"1061",0.998836355645673
"1062",0.982318271119843
"1063",1.47275405007364
"1064",1.24378109452736
"1065",1.35869565217391
"1066",0.953288846520496
"1067",1.06837606837607
"1068",0.781860828772479
"1069",0.98135426889107
"1070",1.230012300123
"1071",1.14810562571757
"1072",1.25944584382872
"1073",1.01317122593718
"1074",1.00502512562814
"1075",1.61030595813205
"1076",1.22249388753056
"1077",1.28369704749679
"1078",1.11482720178372
"1079",0.699790062981106
"1080",1.05708245243129
"1081",0.895255147717099
"1082",1.08342361863489
"1083",0.757002271006813
"1084",1.45985401459854
"1085",0.650195058517555
"1086",1.00200400801603
"1087",1.82481751824817
"1088",1.74520069808028
"1089",1.64473684210526
"1090",1.72413793103448
"1091",1.37551581843191
"1092",1.30378096479791
"1093",1.48809523809524
"1094",1.29366106080207
"1095",1.44508670520231
"1096",1.54559505409583
"1097",1.00603621730382
"1098",1.46842878120411
"1099",1.91204588910134
"1100",1.41442715700141
"1101",1.32100396301189
"1102",1.67224080267559
"1103",1.39082058414465
"1104",1.10741971207087
"1105",1.38888888888889
"1106",1.44927536231884
"1107",1.27713920817369
"1108",1.28865979381443
"1109",1.22952079427043
"1110",1.6197479672163
"1111",1.5609756097561
"1112",1.5966279218291
"1113",1.63078930202218
"1114",1.59193842382177
"1115",1.26344782276354
"1116",1.13739763421292
"1117",0.971510455881281
"1118",1.62064047711656
"1119",1.78053166675569
"1120",1.28347462249803
"1121",1.41470729706024
"1122",1.35588624114437
"1123",1.10260877235539
"1124",1.24834594162734
"1125",1.44717800289436
"1126",1.16102890381456
"1127",1.39249583991868
"1128",1.42949038667715
"1129",1.48557506610809
"1130",1.1416632892461
