target,prime,rt,key,participant,prof,primetype,relationtype,rtprime
СТРАДАТЬ,страдать,0.531,j,adk_L2,aine,identity,derivation,id
СМОТРЕТЬ,смотреть,0.479,j,adk_L2,aine,identity,derivation,id
СТОЯТЬ,стоять,0.575,j,adk_L2,aine,identity,derivation,id
ИГРАТЬ,играть,0.555,j,adk_L2,aine,identity,derivation,id
СТАВИТЬ,ставить,0.408,j,adk_L2,aine,identity,derivation,id
СЛУШАТЬ,слушать,0.43,j,adk_L2,aine,identity,derivation,id
ПРОСИТЬ,просить,0.515,j,adk_L2,aine,identity,derivation,id
КУРИТЬ,курить,0.544,j,adk_L2,aine,identity,derivation,id
СЧИТАТЬ,считать,0.475,j,adk_L2,aine,identity,derivation,id
ЖЕЛАТЬ,желать,0.448,j,adk_L2,aine,identity,derivation,id
ИСКАТЬ,искать,0.539,j,adk_L2,aine,identity,derivation,id
СИДЕТЬ,сидеть,0.442,j,adk_L2,aine,identity,derivation,id
ДУМАТЬ,думать,0.438,j,adk_L2,aine,identity,derivation,id
ГОВОРИТЬ,говорить,0.519,j,adk_L2,aine,identity,derivation,id
ЛЕЖАТЬ,лежать,0.496,j,adk_L2,aine,identity,derivation,id
ДЕРЖАТЬ,держать,0.484,j,adk_L2,aine,identity,derivation,id
ВЕРИТЬ,верить,0.401,j,adk_L2,aine,identity,derivation,id
СТРОИТЬ,строить,0.551,j,adk_L2,aine,identity,derivation,id
ПЛАКАТЬ,плакать,0.504,j,adk_L2,aine,identity,inflection,id
ВЫБРАТЬ,выбрать,0.505,j,adk_L2,aine,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.404,j,adk_L2,aine,identity,inflection,id
КРИЧАТЬ,кричать,0.535,j,adk_L2,aine,identity,inflection,id
СООБЩИТЬ,сообщить,0.417,j,adk_L2,aine,identity,inflection,id
УБИТЬ,убить,0.481,j,adk_L2,aine,identity,inflection,id
БЕЖАТЬ,бежать,0.596,j,adk_L2,aine,identity,inflection,id
БРОСИТЬ,бросить,0.868,j,adk_L2,aine,identity,inflection,id
ПОНЯТЬ,понять,0.738,j,adk_L2,aine,identity,inflection,id
НАЧАТЬ,начать,0.607,j,adk_L2,aine,identity,inflection,id
ПИСАТЬ,писать,0.45,j,adk_L2,aine,identity,inflection,id
РЕШИТЬ,решить,0.534,j,adk_L2,aine,identity,inflection,id
СЛЫШАТЬ,слышать,0.4,j,adk_L2,aine,identity,inflection,id
ПОМНИТЬ,помнить,0.529,j,adk_L2,aine,identity,inflection,id
УЗНАТЬ,узнать,0.539,j,adk_L2,aine,identity,inflection,id
ОЖИДАТЬ,ожидать,0.548,j,adk_L2,aine,identity,inflection,id
СНИМАТЬ,снимать,0.418,j,adk_L2,aine,identity,inflection,id
СОБРАТЬ,собрать,0.413,j,adk_L2,aine,identity,inflection,id
СТРАДАТЬ,страдать,0.8011,j,amannerm,perus,identity,derivation,id
СМОТРЕТЬ,смотреть,0.4891,j,amannerm,perus,identity,derivation,id
СТОЯТЬ,стоять,0.5539,j,amannerm,perus,identity,derivation,id
ИГРАТЬ,играть,0.486,j,amannerm,perus,identity,derivation,id
СТАВИТЬ,ставить,0.5016,j,amannerm,perus,identity,derivation,id
СЛУШАТЬ,слушать,0.5198,j,amannerm,perus,identity,derivation,id
ПРОСИТЬ,просить,0.6025,j,amannerm,perus,identity,derivation,id
КУРИТЬ,курить,0.525,j,amannerm,perus,identity,derivation,id
СЧИТАТЬ,считать,0.5626,j,amannerm,perus,identity,derivation,id
ЖЕЛАТЬ,желать,0.5204,j,amannerm,perus,identity,derivation,id
ИСКАТЬ,искать,0.5195,j,amannerm,perus,identity,derivation,id
ТЕРЯТЬ,терять,0.5238,j,amannerm,perus,identity,derivation,id
ТРАТИТЬ,тратить,0.6277,j,amannerm,perus,identity,derivation,id
СИДЕТЬ,сидеть,0.6109,j,amannerm,perus,identity,derivation,id
ДУМАТЬ,думать,0.5028,j,amannerm,perus,identity,derivation,id
ГОВОРИТЬ,говорить,0.5292,j,amannerm,perus,identity,derivation,id
ЛЕЖАТЬ,лежать,0.616,j,amannerm,perus,identity,derivation,id
ДЕРЖАТЬ,держать,0.5156,j,amannerm,perus,identity,derivation,id
ВЕРИТЬ,верить,0.5627,j,amannerm,perus,identity,derivation,id
СТРОИТЬ,строить,0.4758,j,amannerm,perus,identity,derivation,id
ПЛАКАТЬ,плакать,0.7291,j,amannerm,perus,identity,inflection,id
ВЫБРАТЬ,выбрать,0.5315,j,amannerm,perus,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.4865,j,amannerm,perus,identity,inflection,id
КРИЧАТЬ,кричать,0.6668,j,amannerm,perus,identity,inflection,id
СООБЩИТЬ,сообщить,0.5017,j,amannerm,perus,identity,inflection,id
УБИТЬ,убить,0.5189,j,amannerm,perus,identity,inflection,id
БЕЖАТЬ,бежать,0.5413,j,amannerm,perus,identity,inflection,id
БРОСИТЬ,бросить,0.4667,j,amannerm,perus,identity,inflection,id
УМЕТЬ,уметь,0.536,j,amannerm,perus,identity,inflection,id
ПОНЯТЬ,понять,0.521,j,amannerm,perus,identity,inflection,id
НАЧАТЬ,начать,0.4743,j,amannerm,perus,identity,inflection,id
ПИСАТЬ,писать,0.4526,j,amannerm,perus,identity,inflection,id
РЕШИТЬ,решить,0.498,j,amannerm,perus,identity,inflection,id
СЛЫШАТЬ,слышать,0.5034,j,amannerm,perus,identity,inflection,id
ПОМНИТЬ,помнить,0.5295,j,amannerm,perus,identity,inflection,id
УЗНАТЬ,узнать,0.5699,j,amannerm,perus,identity,inflection,id
ОЖИДАТЬ,ожидать,0.6047,j,amannerm,perus,identity,inflection,id
СНИМАТЬ,снимать,0.5451,j,amannerm,perus,identity,inflection,id
ЗАБЫТЬ,забыть,0.4809,j,amannerm,perus,identity,inflection,id
СОБРАТЬ,собрать,0.472,j,amannerm,perus,identity,inflection,id
СТРАДАТЬ,страдать,0.941,j,jenniraj L2,syv,identity,derivation,id
СМОТРЕТЬ,смотреть,0.704,j,jenniraj L2,syv,identity,derivation,id
СТОЯТЬ,стоять,0.69,j,jenniraj L2,syv,identity,derivation,id
ИГРАТЬ,играть,0.64,j,jenniraj L2,syv,identity,derivation,id
СТАВИТЬ,ставить,0.806,j,jenniraj L2,syv,identity,derivation,id
СЛУШАТЬ,слушать,0.575,j,jenniraj L2,syv,identity,derivation,id
ПРОСИТЬ,просить,0.775,j,jenniraj L2,syv,identity,derivation,id
КУРИТЬ,курить,0.638,j,jenniraj L2,syv,identity,derivation,id
ЖЕЛАТЬ,желать,0.588,j,jenniraj L2,syv,identity,derivation,id
ИСКАТЬ,искать,0.56,j,jenniraj L2,syv,identity,derivation,id
ТЕРЯТЬ,терять,0.837,j,jenniraj L2,syv,identity,derivation,id
ТРАТИТЬ,тратить,0.56,j,jenniraj L2,syv,identity,derivation,id
СИДЕТЬ,сидеть,0.523,j,jenniraj L2,syv,identity,derivation,id
ДУМАТЬ,думать,0.905,j,jenniraj L2,syv,identity,derivation,id
ГОВОРИТЬ,говорить,0.491,j,jenniraj L2,syv,identity,derivation,id
ЛЕЖАТЬ,лежать,0.655,j,jenniraj L2,syv,identity,derivation,id
ДЕРЖАТЬ,держать,0.637,j,jenniraj L2,syv,identity,derivation,id
ВЕРИТЬ,верить,0.606,j,jenniraj L2,syv,identity,derivation,id
СТРОИТЬ,строить,0.591,j,jenniraj L2,syv,identity,derivation,id
ПЛАКАТЬ,плакать,0.689,j,jenniraj L2,syv,identity,inflection,id
ВЫБРАТЬ,выбрать,0.508,j,jenniraj L2,syv,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.573,j,jenniraj L2,syv,identity,inflection,id
СООБЩИТЬ,сообщить,0.588,j,jenniraj L2,syv,identity,inflection,id
УБИТЬ,убить,0.828,j,jenniraj L2,syv,identity,inflection,id
БЕЖАТЬ,бежать,0.707,j,jenniraj L2,syv,identity,inflection,id
БРОСИТЬ,бросить,0.772,j,jenniraj L2,syv,identity,inflection,id
УМЕТЬ,уметь,0.479,j,jenniraj L2,syv,identity,inflection,id
ПОНЯТЬ,понять,0.609,j,jenniraj L2,syv,identity,inflection,id
НАЧАТЬ,начать,0.575,j,jenniraj L2,syv,identity,inflection,id
ПИСАТЬ,писать,0.608,j,jenniraj L2,syv,identity,inflection,id
РЕШИТЬ,решить,0.538,j,jenniraj L2,syv,identity,inflection,id
СЛЫШАТЬ,слышать,0.804,j,jenniraj L2,syv,identity,inflection,id
ПОМНИТЬ,помнить,0.788,j,jenniraj L2,syv,identity,inflection,id
УЗНАТЬ,узнать,0.74,j,jenniraj L2,syv,identity,inflection,id
ОЖИДАТЬ,ожидать,0.724,j,jenniraj L2,syv,identity,inflection,id
СНИМАТЬ,снимать,0.69,j,jenniraj L2,syv,identity,inflection,id
ЗАБЫТЬ,забыть,0.739,j,jenniraj L2,syv,identity,inflection,id
СОБРАТЬ,собрать,0.621,j,jenniraj L2,syv,identity,inflection,id
СТРАДАТЬ,страдать,0.616155,j,jm_L2,aine,identity,derivation,id
СМОТРЕТЬ,смотреть,0.55619,j,jm_L2,aine,identity,derivation,id
СТОЯТЬ,стоять,0.599335,j,jm_L2,aine,identity,derivation,id
ИГРАТЬ,играть,0.70557,j,jm_L2,aine,identity,derivation,id
СТАВИТЬ,ставить,0.615355,j,jm_L2,aine,identity,derivation,id
СЛУШАТЬ,слушать,0.56688,j,jm_L2,aine,identity,derivation,id
ПРОСИТЬ,просить,0.686375,j,jm_L2,aine,identity,derivation,id
КУРИТЬ,курить,0.61394,j,jm_L2,aine,identity,derivation,id
СЧИТАТЬ,считать,0.58494,j,jm_L2,aine,identity,derivation,id
ЖЕЛАТЬ,желать,0.550635,j,jm_L2,aine,identity,derivation,id
ИСКАТЬ,искать,0.60145,j,jm_L2,aine,identity,derivation,id
ТЕРЯТЬ,терять,0.55697,j,jm_L2,aine,identity,derivation,id
ТРАТИТЬ,тратить,0.57258,j,jm_L2,aine,identity,derivation,id
СИДЕТЬ,сидеть,0.53152,j,jm_L2,aine,identity,derivation,id
ДУМАТЬ,думать,0.57641,j,jm_L2,aine,identity,derivation,id
ГОВОРИТЬ,говорить,0.48104,j,jm_L2,aine,identity,derivation,id
ЛЕЖАТЬ,лежать,0.61683,j,jm_L2,aine,identity,derivation,id
ДЕРЖАТЬ,держать,0.844805,j,jm_L2,aine,identity,derivation,id
ВЕРИТЬ,верить,0.57197,j,jm_L2,aine,identity,derivation,id
СТРОИТЬ,строить,0.54649,j,jm_L2,aine,identity,derivation,id
ПЛАКАТЬ,плакать,0.53311,j,jm_L2,aine,identity,inflection,id
ВЫБРАТЬ,выбрать,0.60553,j,jm_L2,aine,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.52273,j,jm_L2,aine,identity,inflection,id
КРИЧАТЬ,кричать,0.8298,j,jm_L2,aine,identity,inflection,id
СООБЩИТЬ,сообщить,0.650765,j,jm_L2,aine,identity,inflection,id
УБИТЬ,убить,0.666095,j,jm_L2,aine,identity,inflection,id
БЕЖАТЬ,бежать,0.590385,j,jm_L2,aine,identity,inflection,id
БРОСИТЬ,бросить,0.58012,j,jm_L2,aine,identity,inflection,id
УМЕТЬ,уметь,0.58256,j,jm_L2,aine,identity,inflection,id
ПОНЯТЬ,понять,0.83898,j,jm_L2,aine,identity,inflection,id
НАЧАТЬ,начать,0.57986,j,jm_L2,aine,identity,inflection,id
ПИСАТЬ,писать,0.637805,j,jm_L2,aine,identity,inflection,id
РЕШИТЬ,решить,0.65012,j,jm_L2,aine,identity,inflection,id
СЛЫШАТЬ,слышать,0.49698,j,jm_L2,aine,identity,inflection,id
ПОМНИТЬ,помнить,0.629605,j,jm_L2,aine,identity,inflection,id
УЗНАТЬ,узнать,0.66955,j,jm_L2,aine,identity,inflection,id
ОЖИДАТЬ,ожидать,0.58976,j,jm_L2,aine,identity,inflection,id
СНИМАТЬ,снимать,0.56669,j,jm_L2,aine,identity,inflection,id
ЗАБЫТЬ,забыть,0.63317,j,jm_L2,aine,identity,inflection,id
СОБРАТЬ,собрать,0.76279,j,jm_L2,aine,identity,inflection,id
СТРАДАТЬ,страдать,0.700925,j,Keem_L2,syv,identity,derivation,id
СМОТРЕТЬ,смотреть,0.635095,j,Keem_L2,syv,identity,derivation,id
СТОЯТЬ,стоять,0.582445,j,Keem_L2,syv,identity,derivation,id
ИГРАТЬ,играть,0.650445,j,Keem_L2,syv,identity,derivation,id
СТАВИТЬ,ставить,0.56782,j,Keem_L2,syv,identity,derivation,id
СЛУШАТЬ,слушать,0.636005,j,Keem_L2,syv,identity,derivation,id
ПРОСИТЬ,просить,0.8722,j,Keem_L2,syv,identity,derivation,id
КУРИТЬ,курить,0.51614,j,Keem_L2,syv,identity,derivation,id
СЧИТАТЬ,считать,0.869695,j,Keem_L2,syv,identity,derivation,id
ЖЕЛАТЬ,желать,0.60245,j,Keem_L2,syv,identity,derivation,id
ИСКАТЬ,искать,0.520255,j,Keem_L2,syv,identity,derivation,id
ТЕРЯТЬ,терять,0.536105,j,Keem_L2,syv,identity,derivation,id
ТРАТИТЬ,тратить,0.59373,j,Keem_L2,syv,identity,derivation,id
СИДЕТЬ,сидеть,0.62238,j,Keem_L2,syv,identity,derivation,id
ДУМАТЬ,думать,0.52695,j,Keem_L2,syv,identity,derivation,id
ГОВОРИТЬ,говорить,0.577055,j,Keem_L2,syv,identity,derivation,id
ЛЕЖАТЬ,лежать,0.6277,j,Keem_L2,syv,identity,derivation,id
ДЕРЖАТЬ,держать,0.551605,j,Keem_L2,syv,identity,derivation,id
ВЕРИТЬ,верить,0.54208,j,Keem_L2,syv,identity,derivation,id
СТРОИТЬ,строить,0.606235,j,Keem_L2,syv,identity,derivation,id
ПЛАКАТЬ,плакать,0.619865,j,Keem_L2,syv,identity,inflection,id
ВЫБРАТЬ,выбрать,0.60583,j,Keem_L2,syv,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.705915,j,Keem_L2,syv,identity,inflection,id
КРИЧАТЬ,кричать,0.68515,j,Keem_L2,syv,identity,inflection,id
СООБЩИТЬ,сообщить,0.732885,j,Keem_L2,syv,identity,inflection,id
БЕЖАТЬ,бежать,0.682515,j,Keem_L2,syv,identity,inflection,id
БРОСИТЬ,бросить,0.63291,j,Keem_L2,syv,identity,inflection,id
УМЕТЬ,уметь,0.57076,j,Keem_L2,syv,identity,inflection,id
ПОНЯТЬ,понять,0.65908,j,Keem_L2,syv,identity,inflection,id
НАЧАТЬ,начать,0.58909,j,Keem_L2,syv,identity,inflection,id
ПИСАТЬ,писать,0.807775,j,Keem_L2,syv,identity,inflection,id
РЕШИТЬ,решить,0.60232,j,Keem_L2,syv,identity,inflection,id
СЛЫШАТЬ,слышать,0.622805,j,Keem_L2,syv,identity,inflection,id
ПОМНИТЬ,помнить,0.742725,j,Keem_L2,syv,identity,inflection,id
УЗНАТЬ,узнать,0.64324,j,Keem_L2,syv,identity,inflection,id
ОЖИДАТЬ,ожидать,0.944805,j,Keem_L2,syv,identity,inflection,id
СНИМАТЬ,снимать,0.55552,j,Keem_L2,syv,identity,inflection,id
ЗАБЫТЬ,забыть,0.877505,j,Keem_L2,syv,identity,inflection,id
СОБРАТЬ,собрать,0.577445,j,Keem_L2,syv,identity,inflection,id
СТРАДАТЬ,страдать,0.681,j,KM,aine,identity,derivation,id
СМОТРЕТЬ,смотреть,0.582,j,KM,aine,identity,derivation,id
СТОЯТЬ,стоять,0.631,j,KM,aine,identity,derivation,id
ИГРАТЬ,играть,0.75,j,KM,aine,identity,derivation,id
СТАВИТЬ,ставить,0.635,j,KM,aine,identity,derivation,id
СЛУШАТЬ,слушать,0.631,j,KM,aine,identity,derivation,id
ПРОСИТЬ,просить,0.648,j,KM,aine,identity,derivation,id
КУРИТЬ,курить,0.548,j,KM,aine,identity,derivation,id
СЧИТАТЬ,считать,1.222,j,KM,aine,identity,derivation,id
ЖЕЛАТЬ,желать,0.668,j,KM,aine,identity,derivation,id
ИСКАТЬ,искать,0.666,j,KM,aine,identity,derivation,id
ТЕРЯТЬ,терять,0.899,j,KM,aine,identity,derivation,id
ТРАТИТЬ,тратить,0.715,j,KM,aine,identity,derivation,id
СИДЕТЬ,сидеть,0.684,j,KM,aine,identity,derivation,id
ДУМАТЬ,думать,0.89,j,KM,aine,identity,derivation,id
ГОВОРИТЬ,говорить,0.532,j,KM,aine,identity,derivation,id
ЛЕЖАТЬ,лежать,0.732,j,KM,aine,identity,derivation,id
ДЕРЖАТЬ,держать,0.615,j,KM,aine,identity,derivation,id
ВЕРИТЬ,верить,0.62,j,KM,aine,identity,derivation,id
СТРОИТЬ,строить,0.765,j,KM,aine,identity,derivation,id
ПЛАКАТЬ,плакать,0.654,j,KM,aine,identity,inflection,id
ВЫБРАТЬ,выбрать,1.031,j,KM,aine,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.731,j,KM,aine,identity,inflection,id
КРИЧАТЬ,кричать,0.767,j,KM,aine,identity,inflection,id
СООБЩИТЬ,сообщить,0.717,j,KM,aine,identity,inflection,id
УБИТЬ,убить,0.616,j,KM,aine,identity,inflection,id
БЕЖАТЬ,бежать,0.865,j,KM,aine,identity,inflection,id
БРОСИТЬ,бросить,0.636,j,KM,aine,identity,inflection,id
УМЕТЬ,уметь,0.536,j,KM,aine,identity,inflection,id
ПОНЯТЬ,понять,0.724,j,KM,aine,identity,inflection,id
НАЧАТЬ,начать,0.541,j,KM,aine,identity,inflection,id
ПИСАТЬ,писать,0.735,j,KM,aine,identity,inflection,id
РЕШИТЬ,решить,0.75,j,KM,aine,identity,inflection,id
СЛЫШАТЬ,слышать,0.598,j,KM,aine,identity,inflection,id
ПОМНИТЬ,помнить,0.957,j,KM,aine,identity,inflection,id
УЗНАТЬ,узнать,0.731,j,KM,aine,identity,inflection,id
ОЖИДАТЬ,ожидать,0.72,j,KM,aine,identity,inflection,id
СНИМАТЬ,снимать,0.851,j,KM,aine,identity,inflection,id
ЗАБЫТЬ,забыть,0.636,j,KM,aine,identity,inflection,id
СОБРАТЬ,собрать,1.223,j,KM,aine,identity,inflection,id
СТРАДАТЬ,страдать,0.583,j,Maahanna,syv,identity,derivation,id
СМОТРЕТЬ,смотреть,0.514,j,Maahanna,syv,identity,derivation,id
СТОЯТЬ,стоять,0.615,j,Maahanna,syv,identity,derivation,id
ИГРАТЬ,играть,0.533,j,Maahanna,syv,identity,derivation,id
СТАВИТЬ,ставить,0.598,j,Maahanna,syv,identity,derivation,id
ПРОСИТЬ,просить,0.605,j,Maahanna,syv,identity,derivation,id
КУРИТЬ,курить,0.516,j,Maahanna,syv,identity,derivation,id
ЖЕЛАТЬ,желать,0.514,j,Maahanna,syv,identity,derivation,id
ИСКАТЬ,искать,0.515,j,Maahanna,syv,identity,derivation,id
ТЕРЯТЬ,терять,0.682,j,Maahanna,syv,identity,derivation,id
ТРАТИТЬ,тратить,0.52,j,Maahanna,syv,identity,derivation,id
СИДЕТЬ,сидеть,0.64,j,Maahanna,syv,identity,derivation,id
ДУМАТЬ,думать,0.518,j,Maahanna,syv,identity,derivation,id
ГОВОРИТЬ,говорить,0.781,j,Maahanna,syv,identity,derivation,id
ЛЕЖАТЬ,лежать,0.55,j,Maahanna,syv,identity,derivation,id
ДЕРЖАТЬ,держать,0.732,j,Maahanna,syv,identity,derivation,id
ВЕРИТЬ,верить,0.668,j,Maahanna,syv,identity,derivation,id
СТРОИТЬ,строить,0.55,j,Maahanna,syv,identity,derivation,id
ПЛАКАТЬ,плакать,0.617,j,Maahanna,syv,identity,inflection,id
ВЫБРАТЬ,выбрать,0.666,j,Maahanna,syv,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.621,j,Maahanna,syv,identity,inflection,id
КРИЧАТЬ,кричать,0.77,j,Maahanna,syv,identity,inflection,id
СООБЩИТЬ,сообщить,0.647,j,Maahanna,syv,identity,inflection,id
УБИТЬ,убить,0.603,j,Maahanna,syv,identity,inflection,id
БЕЖАТЬ,бежать,0.601,j,Maahanna,syv,identity,inflection,id
БРОСИТЬ,бросить,0.586,j,Maahanna,syv,identity,inflection,id
УМЕТЬ,уметь,0.615,j,Maahanna,syv,identity,inflection,id
ПОНЯТЬ,понять,0.618,j,Maahanna,syv,identity,inflection,id
НАЧАТЬ,начать,0.603,j,Maahanna,syv,identity,inflection,id
ПИСАТЬ,писать,0.533,j,Maahanna,syv,identity,inflection,id
РЕШИТЬ,решить,0.663,j,Maahanna,syv,identity,inflection,id
СЛЫШАТЬ,слышать,0.563,j,Maahanna,syv,identity,inflection,id
ПОМНИТЬ,помнить,0.61,j,Maahanna,syv,identity,inflection,id
УЗНАТЬ,узнать,0.515,j,Maahanna,syv,identity,inflection,id
ОЖИДАТЬ,ожидать,0.945,j,Maahanna,syv,identity,inflection,id
СНИМАТЬ,снимать,0.651,j,Maahanna,syv,identity,inflection,id
ЗАБЫТЬ,забыть,0.715,j,Maahanna,syv,identity,inflection,id
СОБРАТЬ,собрать,0.614,j,Maahanna,syv,identity,inflection,id
СТРАДАТЬ,страдать,0.71365,j,mS,perus,identity,derivation,id
СМОТРЕТЬ,смотреть,0.669035,j,mS,perus,identity,derivation,id
СТОЯТЬ,стоять,0.6991,j,mS,perus,identity,derivation,id
ИГРАТЬ,играть,0.62138,j,mS,perus,identity,derivation,id
СТАВИТЬ,ставить,0.722475,j,mS,perus,identity,derivation,id
СЛУШАТЬ,слушать,0.73242,j,mS,perus,identity,derivation,id
ПРОСИТЬ,просить,0.706245,j,mS,perus,identity,derivation,id
КУРИТЬ,курить,0.54902,j,mS,perus,identity,derivation,id
СЧИТАТЬ,считать,0.79885,j,mS,perus,identity,derivation,id
ЖЕЛАТЬ,желать,0.79951,j,mS,perus,identity,derivation,id
ИСКАТЬ,искать,0.627195,j,mS,perus,identity,derivation,id
ТЕРЯТЬ,терять,0.731025,j,mS,perus,identity,derivation,id
СИДЕТЬ,сидеть,0.849495,j,mS,perus,identity,derivation,id
ДУМАТЬ,думать,0.82489,j,mS,perus,identity,derivation,id
ГОВОРИТЬ,говорить,0.545885,j,mS,perus,identity,derivation,id
ЛЕЖАТЬ,лежать,0.631625,j,mS,perus,identity,derivation,id
ДЕРЖАТЬ,держать,0.69952,j,mS,perus,identity,derivation,id
ВЕРИТЬ,верить,0.81535,j,mS,perus,identity,derivation,id
СТРОИТЬ,строить,0.69766,j,mS,perus,identity,derivation,id
ПЛАКАТЬ,плакать,0.69845,j,mS,perus,identity,inflection,id
ВЫБРАТЬ,выбрать,0.684265,j,mS,perus,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.71522,j,mS,perus,identity,inflection,id
БРОСИТЬ,бросить,0.64801,j,mS,perus,identity,inflection,id
УМЕТЬ,уметь,0.56803,j,mS,perus,identity,inflection,id
ПОНЯТЬ,понять,0.63258,j,mS,perus,identity,inflection,id
НАЧАТЬ,начать,0.566925,j,mS,perus,identity,inflection,id
ПИСАТЬ,писать,0.667145,j,mS,perus,identity,inflection,id
РЕШИТЬ,решить,0.68615,j,mS,perus,identity,inflection,id
СЛЫШАТЬ,слышать,1.009375,j,mS,perus,identity,inflection,id
ПОМНИТЬ,помнить,0.61547,j,mS,perus,identity,inflection,id
