target,prime,rt,key,participant,prof,primetype,relationtype,rtprime,months,immersion,years,age
СТРАДАТЬ,страдать,0.531,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СМОТРЕТЬ,смотреть,0.479,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СТОЯТЬ,стоять,0.575,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ИГРАТЬ,играть,0.555,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СТАВИТЬ,ставить,0.408,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СЛУШАТЬ,слушать,0.43,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ПРОСИТЬ,просить,0.515,j,adk_L2,aine,identity,derivation,id,0,no,3,20
КУРИТЬ,курить,0.544,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СЧИТАТЬ,считать,0.475,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ЖЕЛАТЬ,желать,0.448,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ИСКАТЬ,искать,0.539,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СИДЕТЬ,сидеть,0.442,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ДУМАТЬ,думать,0.438,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ГОВОРИТЬ,говорить,0.519,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ЛЕЖАТЬ,лежать,0.496,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ДЕРЖАТЬ,держать,0.484,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ВЕРИТЬ,верить,0.401,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СТРОИТЬ,строить,0.551,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ПЛАКАТЬ,плакать,0.504,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ВЫБРАТЬ,выбрать,0.505,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ВСТРЕЧАТЬ,встречать,0.404,j,adk_L2,aine,identity,inflection,id,0,no,3,20
КРИЧАТЬ,кричать,0.535,j,adk_L2,aine,identity,inflection,id,0,no,3,20
СООБЩИТЬ,сообщить,0.417,j,adk_L2,aine,identity,inflection,id,0,no,3,20
УБИТЬ,убить,0.481,j,adk_L2,aine,identity,inflection,id,0,no,3,20
БЕЖАТЬ,бежать,0.596,j,adk_L2,aine,identity,inflection,id,0,no,3,20
БРОСИТЬ,бросить,0.868,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ПОНЯТЬ,понять,0.738,j,adk_L2,aine,identity,inflection,id,0,no,3,20
НАЧАТЬ,начать,0.607,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ПИСАТЬ,писать,0.45,j,adk_L2,aine,identity,inflection,id,0,no,3,20
РЕШИТЬ,решить,0.534,j,adk_L2,aine,identity,inflection,id,0,no,3,20
СЛЫШАТЬ,слышать,0.4,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ПОМНИТЬ,помнить,0.529,j,adk_L2,aine,identity,inflection,id,0,no,3,20
УЗНАТЬ,узнать,0.539,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ОЖИДАТЬ,ожидать,0.548,j,adk_L2,aine,identity,inflection,id,0,no,3,20
СНИМАТЬ,снимать,0.418,j,adk_L2,aine,identity,inflection,id,0,no,3,20
СОБРАТЬ,собрать,0.413,j,adk_L2,aine,identity,inflection,id,0,no,3,20
СТРАДАТЬ,страдать,0.8011,j,amannerm,perus,identity,derivation,id,0,no,16,50
СМОТРЕТЬ,смотреть,0.4891,j,amannerm,perus,identity,derivation,id,0,no,16,50
СТОЯТЬ,стоять,0.5539,j,amannerm,perus,identity,derivation,id,0,no,16,50
ИГРАТЬ,играть,0.486,j,amannerm,perus,identity,derivation,id,0,no,16,50
СТАВИТЬ,ставить,0.5016,j,amannerm,perus,identity,derivation,id,0,no,16,50
СЛУШАТЬ,слушать,0.5198,j,amannerm,perus,identity,derivation,id,0,no,16,50
ПРОСИТЬ,просить,0.6025,j,amannerm,perus,identity,derivation,id,0,no,16,50
КУРИТЬ,курить,0.525,j,amannerm,perus,identity,derivation,id,0,no,16,50
СЧИТАТЬ,считать,0.5626,j,amannerm,perus,identity,derivation,id,0,no,16,50
ЖЕЛАТЬ,желать,0.5204,j,amannerm,perus,identity,derivation,id,0,no,16,50
ИСКАТЬ,искать,0.5195,j,amannerm,perus,identity,derivation,id,0,no,16,50
ТЕРЯТЬ,терять,0.5238,j,amannerm,perus,identity,derivation,id,0,no,16,50
ТРАТИТЬ,тратить,0.6277,j,amannerm,perus,identity,derivation,id,0,no,16,50
СИДЕТЬ,сидеть,0.6109,j,amannerm,perus,identity,derivation,id,0,no,16,50
ДУМАТЬ,думать,0.5028,j,amannerm,perus,identity,derivation,id,0,no,16,50
ГОВОРИТЬ,говорить,0.5292,j,amannerm,perus,identity,derivation,id,0,no,16,50
ЛЕЖАТЬ,лежать,0.616,j,amannerm,perus,identity,derivation,id,0,no,16,50
ДЕРЖАТЬ,держать,0.5156,j,amannerm,perus,identity,derivation,id,0,no,16,50
ВЕРИТЬ,верить,0.5627,j,amannerm,perus,identity,derivation,id,0,no,16,50
СТРОИТЬ,строить,0.4758,j,amannerm,perus,identity,derivation,id,0,no,16,50
ПЛАКАТЬ,плакать,0.7291,j,amannerm,perus,identity,inflection,id,0,no,16,50
ВЫБРАТЬ,выбрать,0.5315,j,amannerm,perus,identity,inflection,id,0,no,16,50
ВСТРЕЧАТЬ,встречать,0.4865,j,amannerm,perus,identity,inflection,id,0,no,16,50
КРИЧАТЬ,кричать,0.6668,j,amannerm,perus,identity,inflection,id,0,no,16,50
СООБЩИТЬ,сообщить,0.5017,j,amannerm,perus,identity,inflection,id,0,no,16,50
УБИТЬ,убить,0.5189,j,amannerm,perus,identity,inflection,id,0,no,16,50
БЕЖАТЬ,бежать,0.5413,j,amannerm,perus,identity,inflection,id,0,no,16,50
БРОСИТЬ,бросить,0.4667,j,amannerm,perus,identity,inflection,id,0,no,16,50
УМЕТЬ,уметь,0.536,j,amannerm,perus,identity,inflection,id,0,no,16,50
ПОНЯТЬ,понять,0.521,j,amannerm,perus,identity,inflection,id,0,no,16,50
НАЧАТЬ,начать,0.4743,j,amannerm,perus,identity,inflection,id,0,no,16,50
ПИСАТЬ,писать,0.4526,j,amannerm,perus,identity,inflection,id,0,no,16,50
РЕШИТЬ,решить,0.498,j,amannerm,perus,identity,inflection,id,0,no,16,50
СЛЫШАТЬ,слышать,0.5034,j,amannerm,perus,identity,inflection,id,0,no,16,50
ПОМНИТЬ,помнить,0.5295,j,amannerm,perus,identity,inflection,id,0,no,16,50
УЗНАТЬ,узнать,0.5699,j,amannerm,perus,identity,inflection,id,0,no,16,50
ОЖИДАТЬ,ожидать,0.6047,j,amannerm,perus,identity,inflection,id,0,no,16,50
СНИМАТЬ,снимать,0.5451,j,amannerm,perus,identity,inflection,id,0,no,16,50
ЗАБЫТЬ,забыть,0.4809,j,amannerm,perus,identity,inflection,id,0,no,16,50
СОБРАТЬ,собрать,0.472,j,amannerm,perus,identity,inflection,id,0,no,16,50
СИДЕТЬ,посидеть,0.596,j,april2021,syv,related,derivation,der,3,yes,10,28
ГОВОРИТЬ,поговорить,0.622,j,april2021,syv,related,derivation,der,3,yes,10,28
ДЕРЖАТЬ,подержать,0.678,j,april2021,syv,related,derivation,der,3,yes,10,28
ВЕРИТЬ,поверить,0.681,j,april2021,syv,related,derivation,der,3,yes,10,28
БРОСИТЬ,бросил,0.631,j,april2021,syv,related,inflection,inf,3,yes,10,28
ПОНЯТЬ,понял,0.518,j,april2021,syv,related,inflection,inf,3,yes,10,28
НАЧАТЬ,начал,0.549,j,april2021,syv,related,inflection,inf,3,yes,10,28
ПИСАТЬ,писал,0.531,j,april2021,syv,related,inflection,inf,3,yes,10,28
РЕШИТЬ,решил,0.55,j,april2021,syv,related,inflection,inf,3,yes,10,28
СЛЫШАТЬ,слышал,0.623,j,april2021,syv,related,inflection,inf,3,yes,10,28
ПОМНИТЬ,помнил,0.677,j,april2021,syv,related,inflection,inf,3,yes,10,28
УЗНАТЬ,узнал,0.534,j,april2021,syv,related,inflection,inf,3,yes,10,28
СНИМАТЬ,снимал,0.576,j,april2021,syv,related,inflection,inf,3,yes,10,28
СТРАДАТЬ,машина,1.055,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
СМОТРЕТЬ,впрочем,0.617,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
СТОЯТЬ,палец,0.662,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ИГРАТЬ,великий,0.695,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
СТАВИТЬ,очередь,0.662,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
СЛУШАТЬ,готовый,0.631,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ПРОСИТЬ,близкий,1.246,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
КУРИТЬ,взгляд,0.597,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
СЧИТАТЬ,вторник,0.841,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ЖЕЛАТЬ,принцип,0.712,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ИСКАТЬ,мужчина,0.662,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ТЕРЯТЬ,метод,0.615,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ТРАТИТЬ,задание,0.968,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ДУМАТЬ,мысль,0.599,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ЛЕЖАТЬ,простой,0.844,j,april2021,syv,a_unrelated,derivation,unrel,3,yes,10,28
ПЛАКАТЬ,женщина,0.701,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
ВЫБРАТЬ,назад,0.913,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
ВСТРЕЧАТЬ,крупный,0.773,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
КРИЧАТЬ,простой,0.664,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
СООБЩИТЬ,важный,0.777,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
БЕЖАТЬ,мальчик,0.733,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
УМЕТЬ,характер,0.848,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
ЗАБЫТЬ,структура,0.964,j,april2021,syv,a_unrelated,inflection,unrel,3,yes,10,28
СТРАДАТЬ,пострадать,0.88,j,belka,syv,related,derivation,der,4,yes,9,52
СМОТРЕТЬ,посмотреть,0.669,j,belka,syv,related,derivation,der,4,yes,9,52
СТОЯТЬ,постоять,0.997,j,belka,syv,related,derivation,der,4,yes,9,52
ИГРАТЬ,поиграть,0.83,j,belka,syv,related,derivation,der,4,yes,9,52
СТАВИТЬ,поставить,0.732,j,belka,syv,related,derivation,der,4,yes,9,52
СЛУШАТЬ,послушать,0.654,j,belka,syv,related,derivation,der,4,yes,9,52
ПРОСИТЬ,попросить,0.664,j,belka,syv,related,derivation,der,4,yes,9,52
КУРИТЬ,покурить,0.698,j,belka,syv,related,derivation,der,4,yes,9,52
СЧИТАТЬ,посчитать,0.631,j,belka,syv,related,derivation,der,4,yes,9,52
ЖЕЛАТЬ,пожелать,0.73,j,belka,syv,related,derivation,der,4,yes,9,52
ИСКАТЬ,поискать,0.667,j,belka,syv,related,derivation,der,4,yes,9,52
ТЕРЯТЬ,потерять,0.816,j,belka,syv,related,derivation,der,4,yes,9,52
ТРАТИТЬ,потратить,0.629,j,belka,syv,related,derivation,der,4,yes,9,52
ЛЕЖАТЬ,полежать,0.815,j,belka,syv,related,derivation,der,4,yes,9,52
ПЛАКАТЬ,плакал,0.68,j,belka,syv,related,inflection,inf,4,yes,9,52
ВЫБРАТЬ,выбрал,0.814,j,belka,syv,related,inflection,inf,4,yes,9,52
ВСТРЕЧАТЬ,встречал,0.597,j,belka,syv,related,inflection,inf,4,yes,9,52
КРИЧАТЬ,кричал,0.73,j,belka,syv,related,inflection,inf,4,yes,9,52
СООБЩИТЬ,сообщил,0.614,j,belka,syv,related,inflection,inf,4,yes,9,52
УБИТЬ,убил,0.684,j,belka,syv,related,inflection,inf,4,yes,9,52
БЕЖАТЬ,бежал,0.764,j,belka,syv,related,inflection,inf,4,yes,9,52
УМЕТЬ,умел,0.698,j,belka,syv,related,inflection,inf,4,yes,9,52
ЗАБЫТЬ,забыл,0.846,j,belka,syv,related,inflection,inf,4,yes,9,52
СОБРАТЬ,собрал,0.747,j,belka,syv,related,inflection,inf,4,yes,9,52
СИДЕТЬ,первый,0.637,j,belka,syv,a_unrelated,derivation,unrel,4,yes,9,52
ДУМАТЬ,другой,0.681,j,belka,syv,a_unrelated,derivation,unrel,4,yes,9,52
ГОВОРИТЬ,все-таки,0.635,j,belka,syv,a_unrelated,derivation,unrel,4,yes,9,52
ДЕРЖАТЬ,работа,0.733,j,belka,syv,a_unrelated,derivation,unrel,4,yes,9,52
ВЕРИТЬ,самый,0.635,j,belka,syv,a_unrelated,derivation,unrel,4,yes,9,52
СТРОИТЬ,область,0.88,j,belka,syv,a_unrelated,derivation,unrel,4,yes,9,52
БРОСИТЬ,никакой,0.795,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
ПОНЯТЬ,хорошо,1.098,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
НАЧАТЬ,всякий,0.747,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
ПИСАТЬ,черный,0.782,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
РЕШИТЬ,далекий,0.683,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
СЛЫШАТЬ,история,0.717,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
ПОМНИТЬ,власть,0.663,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
УЗНАТЬ,тысяча,0.714,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
ОЖИДАТЬ,внимание,0.713,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
СНИМАТЬ,развитие,0.682,j,belka,syv,a_unrelated,inflection,unrel,4,yes,9,52
СИДЕТЬ,посидеть,0.727615,j,Branta Leucopsis,syv,related,derivation,der,24,yes,10,49
ГОВОРИТЬ,поговорить,0.885765,j,Branta Leucopsis,syv,related,derivation,der,24,yes,10,49
ДЕРЖАТЬ,подержать,0.717535,j,Branta Leucopsis,syv,related,derivation,der,24,yes,10,49
ВЕРИТЬ,поверить,0.878165,j,Branta Leucopsis,syv,related,derivation,der,24,yes,10,49
СТРОИТЬ,построить,0.94592,j,Branta Leucopsis,syv,related,derivation,der,24,yes,10,49
БРОСИТЬ,бросил,0.79663,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
ПОНЯТЬ,понял,0.703645,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
НАЧАТЬ,начал,0.65497,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
ПИСАТЬ,писал,0.63775,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
РЕШИТЬ,решил,0.689265,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
СЛЫШАТЬ,слышал,0.669255,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
ПОМНИТЬ,помнил,0.84566,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
УЗНАТЬ,узнал,0.727045,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
ОЖИДАТЬ,ожидал,0.890565,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
СНИМАТЬ,снимал,0.67449,j,Branta Leucopsis,syv,related,inflection,inf,24,yes,10,49
СТРАДАТЬ,машина,0.875855,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
СМОТРЕТЬ,впрочем,0.652505,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
СТОЯТЬ,палец,0.6177,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ИГРАТЬ,великий,0.690875,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
СТАВИТЬ,очередь,0.71778,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
СЛУШАТЬ,готовый,0.752785,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ПРОСИТЬ,близкий,0.75728,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
КУРИТЬ,взгляд,0.72532,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ЖЕЛАТЬ,принцип,0.775485,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ИСКАТЬ,мужчина,0.67813,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ТЕРЯТЬ,метод,0.69169,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ТРАТИТЬ,задание,0.74646,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ДУМАТЬ,мысль,0.65785,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ЛЕЖАТЬ,простой,0.738025,j,Branta Leucopsis,syv,a_unrelated,derivation,unrel,24,yes,10,49
ПЛАКАТЬ,женщина,0.70819,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
ВЫБРАТЬ,назад,0.691825,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
ВСТРЕЧАТЬ,крупный,0.802515,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
КРИЧАТЬ,простой,0.70756,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
СООБЩИТЬ,важный,1.34153,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
УБИТЬ,часто,0.811185,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
БЕЖАТЬ,мальчик,1.03661,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
УМЕТЬ,характер,0.80456,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
ЗАБЫТЬ,структура,0.969725,j,Branta Leucopsis,syv,a_unrelated,inflection,unrel,24,yes,10,49
СИДЕТЬ,посидеть,0.659545,j,DEO_L2,syv,related,derivation,der,4,yes,8,39
ГОВОРИТЬ,поговорить,0.6513,j,DEO_L2,syv,related,derivation,der,4,yes,8,39
ДЕРЖАТЬ,подержать,0.635115,j,DEO_L2,syv,related,derivation,der,4,yes,8,39
ВЕРИТЬ,поверить,0.67568,j,DEO_L2,syv,related,derivation,der,4,yes,8,39
СТРОИТЬ,построить,0.729155,j,DEO_L2,syv,related,derivation,der,4,yes,8,39
БРОСИТЬ,бросил,0.5847,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
ПОНЯТЬ,понял,0.701765,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
НАЧАТЬ,начал,0.532785,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
ПИСАТЬ,писал,0.52867,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
РЕШИТЬ,решил,0.650835,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
СЛЫШАТЬ,слышал,0.681045,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
ПОМНИТЬ,помнил,1.00019,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
УЗНАТЬ,узнал,0.64009,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
ОЖИДАТЬ,ожидал,0.748065,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
СНИМАТЬ,снимал,0.730955,j,DEO_L2,syv,related,inflection,inf,4,yes,8,39
СТРАДАТЬ,машина,0.661815,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
СМОТРЕТЬ,впрочем,0.74878,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
СТОЯТЬ,палец,0.683975,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ИГРАТЬ,великий,0.600415,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
СТАВИТЬ,очередь,0.84493,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
СЛУШАТЬ,готовый,0.714995,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ПРОСИТЬ,близкий,0.777535,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
КУРИТЬ,взгляд,0.57316,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
СЧИТАТЬ,вторник,0.88381,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ЖЕЛАТЬ,принцип,0.70045,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ИСКАТЬ,мужчина,0.687305,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ТЕРЯТЬ,метод,0.668595,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ТРАТИТЬ,задание,0.543845,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ДУМАТЬ,мысль,0.80058,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ЛЕЖАТЬ,простой,0.608995,j,DEO_L2,syv,a_unrelated,derivation,unrel,4,yes,8,39
ПЛАКАТЬ,женщина,0.58664,j,DEO_L2,syv,a_unrelated,inflection,unrel,4,yes,8,39
ВЫБРАТЬ,назад,0.677185,j,DEO_L2,syv,a_unrelated,inflection,unrel,4,yes,8,39
ВСТРЕЧАТЬ,крупный,0.65857,j,DEO_L2,syv,a_unrelated,inflection,unrel,4,yes,8,39
КРИЧАТЬ,простой,0.662675,j,DEO_L2,syv,a_unrelated,inflection,unrel,4,yes,8,39
СООБЩИТЬ,важный,0.88434,j,DEO_L2,syv,a_unrelated,inflection,unrel,4,yes,8,39
